duAn,huong,phapLy,noBed,soLau,Precinct,District,acreage_value,noBathroom
Bamboo Airways Tower,,,3.0,,Phường Dịch Vọng,Quận Cầu Giấy,116.0,2.0
TTTM TSQ,,,2.0,,,Quận Hà Đông,75.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phường Đại Kim,Quận Hoàng Mai,95.0,-1.0
HH1 Linh Đàm,,,2.0,,,Quận Hoàng Mai,73.0,1.0
,,,3.0,,Phường Nghĩa Đô,Quận Cầu Giấy,95.0,-1.0
The Pride,,,3.0,,Phường La Khê,Quận Hà Đông,146.0,3.0
The Garden Hills - 99 Trần Bình,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,89.0,2.0
xpHOMES,,,2.0,,,Huyện Đan Phượng,57.0,2.0
Samsora Premier,,,3.0,,Phường Yết Kiêu,Quận Hà Đông,92.0,2.0
Dreamland Bonanza,,,2.0,,,Quận Nam Từ Liêm,72.0,2.0
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,,Xã Dương Xá,Huyện Gia Lâm,65.0,-1.0
,,,3.0,1.0,Phường Yên Hòa,Quận Cầu Giấy,104.0,-1.0
The Pride,,,3.0,,,Quận Hà Đông,91.0,2.0
Florence Mỹ Đình,,,2.0,,,Quận Nam Từ Liêm,80.0,2.0
,,,3.0,16.0,Phường Mai Dịch,Quận Cầu Giấy,100.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Yên Hòa,Quận Cầu Giấy,99.0,-1.0
The Emerald CT8 Mỹ Đình,,,4.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,142.0,3.0
Khu đô thị Kim Văn Kim Lũ,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,55.0,-1.0
Times City,Nam,,2.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,83.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Mai Dịch,Quận Cầu Giấy,65.0,-1.0
Đường Nguyễn Trãi,,,3.0,,Phường Thượng Đình,Quận Thanh Xuân,124.0,-1.0
The Zenpark,,,3.0,,,Huyện Gia Lâm,81.0,2.0
FLC Star Tower,,,2.0,,,Quận Hà Đông,79.0,2.0
HH2 Linh Đàm,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,63.0,-1.0
HH4 Linh Đàm,Nam,,1.0,,Phường Hoàng Liệt,Quận Hoàng Mai,48.0,1.0
The Tonkin - Vinhomes Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,64.0,2.0
Chung cư The Wisteria,,,3.0,,Xã Di Trạch,Huyện Hoài Đức,100.0,2.0
Intracom1,,,3.0,,,Quận Nam Từ Liêm,117.0,2.0
Cầu Giấy Center Point,,,3.0,,Phường Quan Hoa,Quận Cầu Giấy,127.0,3.0
Bắc Hà Tower C37 Bộ Công An,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,115.0,-1.0
Eurowindow Multi Complex,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,105.0,-1.0
,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,70.0,-1.0
A10-A14 Nam Trung Yên,,,3.0,,Phường Yên Hòa,Quận Cầu Giấy,90.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,24.0,Phường La Khê,Quận Hà Đông,91.0,-1.0
,,,2.0,15.0,Phường Dịch Vọng,Quận Cầu Giấy,78.0,-1.0
Chung cư Đại Thanh,,,1.0,,Xã Tả Thanh Oai,Huyện Thanh Trì,42.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phường Khương Trung,Quận Thanh Xuân,81.0,-1.0
An Bình Plaza,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,55.0,2.0
Sông Đà Hà Đông Tower,,,3.0,,Phường Văn Quán,Quận Hà Đông,95.0,2.0
,,,3.0,30.0,Phường Trung Văn,Quận Nam Từ Liêm,107.0,-1.0
FLC Complex Phạm Hùng,,,2.0,,,Quận Nam Từ Liêm,70.0,2.0
,,,2.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,76.0,2.0
Sunshine Palace,,,2.0,,Phường Mai Động,Quận Hoàng Mai,80.0,-1.0
,,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,97.0,-1.0
Sunshine Riverside,Tây,,3.0,,Phường Phú Thượng,Quận Tây Hồ,97.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Láng Hạ,Quận Đống Đa,75.0,-1.0
Eurowindow Multi Complex,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,102.0,-1.0
,,Giấy tờ hợp lệ,2.0,25.0,Phường Đại Kim,Quận Hoàng Mai,61.0,-1.0
,,,2.0,8.0,Phường Xuân La,Quận Tây Hồ,45.0,-1.0
Chung cư The Senique Hanoi,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,50.0,2.0
The Golden Armor,,,2.0,,Phường Giảng Võ,Quận Ba Đình,90.0,2.0
The Pride,,,3.0,,Phường La Khê,Quận Hà Đông,113.0,3.0
FLC Green Apartment,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,60.0,2.0
SDU 143 Trần Phú,,,2.0,,Phường Văn Quán,Quận Hà Đông,70.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Cầu Diễn,Quận Nam Từ Liêm,130.0,-1.0
Vinhomes Cổ Loa,,,2.0,,,Huyện Đông Anh,57.0,2.0
Thành Phố Giao Lưu,,,2.0,,,Quận Bắc Từ Liêm,83.0,2.0
Làng Việt Kiều Châu Âu Euroland,,,2.0,,Phường Mỗ Lao,Quận Hà Đông,76.0,3.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Đại Kim,Quận Hoàng Mai,71.0,-1.0
,,,2.0,,Phường Thanh Xuân Bắc,Quận Thanh Xuân,48.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,1.0,3.0,Phường Thượng Đình,Quận Thanh Xuân,32.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Mai Động,Quận Hoàng Mai,60.0,-1.0
,Đông,,3.0,,Phường Sài Đồng,Quận Long Biên,97.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,108.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phường Mỹ Đình 1,Quận Nam Từ Liêm,82.0,-1.0
Eurowindow Multi Complex,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,120.0,2.0
Nam Trung Yên,,,3.0,,,Quận Cầu Giấy,71.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Vĩnh Tuy,Quận Hai Bà Trưng,100.0,-1.0
IA20 Ciputra,,,3.0,,Phường Đông Ngạc,Quận Bắc Từ Liêm,107.0,2.0
,,,2.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,51.0,-1.0
,,,2.0,6.0,Phường Mỹ Đình 1,Quận Nam Từ Liêm,80.0,-1.0
New Skyline,,,3.0,,Phường Văn Quán,Quận Hà Đông,98.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,27.0,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,115.0,-1.0
Imperia Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,55.0,1.0
,,,2.0,,Phường Quỳnh Mai,Quận Hai Bà Trưng,60.0,1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phường Lê Đại Hành,Quận Hai Bà Trưng,75.0,-1.0
The Emerald CT8 Mỹ Đình,,,2.0,,,Quận Nam Từ Liêm,81.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Mai Động,Quận Hoàng Mai,71.0,-1.0
Sông Đà Hà Đông Tower,,,3.0,,Phường Văn Quán,Quận Hà Đông,155.0,-1.0
Mỹ Đình Pearl,,,2.0,,Phường Phú Đô,Quận Nam Từ Liêm,50.0,1.0
Vinhomes Smart City,,,3.0,,,Quận Nam Từ Liêm,75.0,-1.0
The Pride,,,3.0,,,Quận Hà Đông,103.0,3.0
Viha Complex,,,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,93.0,3.0
,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,88.0,2.0
Iris Garden,,,3.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,104.0,2.0
Sunshine City,,,3.0,,,Quận Bắc Từ Liêm,90.0,2.0
Handico Complex,,,3.0,,Phường Nhân Chính,Quận Thanh Xuân,79.0,2.0
,,,2.0,15.0,Phường La Khê,Quận Hà Đông,84.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,140.0,-1.0
,,,2.0,5.0,Phường Thượng Thanh,Quận Long Biên,59.0,-1.0
Sunshine Green Iconic,,,3.0,,Phường Phúc Đồng,Quận Long Biên,108.0,2.0
Vinhomes Smart City,,,2.0,,,Quận Nam Từ Liêm,64.0,2.0
Times City,Đông,,2.0,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,80.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Minh Khai,Quận Hai Bà Trưng,105.0,-1.0
Sunrise Garden (Bình Minh Garden),,,3.0,,Phường Đức Giang,Quận Long Biên,92.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Nghĩa Đô,Quận Cầu Giấy,36.0,-1.0
Vinhomes Smart City,,,3.0,,,Quận Nam Từ Liêm,88.0,2.0
,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,2.0,19.0,Phường Phú Thượng,Quận Tây Hồ,86.0,-1.0
Vinhomes Ocean Park Gia Lâm,,,2.0,,Xã Dương Xá,Huyện Gia Lâm,68.0,2.0
Vinhomes Gardenia,,,3.0,,,Quận Nam Từ Liêm,96.0,2.0
Bamboo Airways Tower,,,3.0,,Phường Dịch Vọng,Quận Cầu Giấy,116.0,2.0
Khu đô thị mới Đại Kim,,,2.0,,,Quận Hoàng Mai,71.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,78.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,86.0,-1.0
Vinhomes West Point,,,4.0,,Phường Mễ Trì,Quận Nam Từ Liêm,135.0,3.0
Le Grand Jardin Sài Đồng,,,3.0,,,Quận Long Biên,85.0,2.0
Goldmark City,,,3.0,,Phường Phú Diễn,Quận Bắc Từ Liêm,110.0,2.0
Khu đô thị mới Xa La,,,3.0,,Phường Phúc La,Quận Hà Đông,96.0,-1.0
Hà Nội Melody Residences,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,80.0,2.0
Booyoung Vina,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,88.0,-1.0
,,,2.0,,Phường Phúc Đồng,Quận Long Biên,72.0,2.0
VOV Mễ Trì,,,3.0,,Phường Mễ Trì,Quận Nam Từ Liêm,90.0,2.0
Hoàng Ngân Plaza,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,72.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Trung Tự,Quận Đống Đa,80.0,-1.0
,,,2.0,1.0,Xã Vân Canh,Huyện Hoài Đức,72.0,-1.0
Sunshine City,,,2.0,,,Quận Bắc Từ Liêm,73.0,2.0
,,,2.0,33.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,79.0,-1.0
Masteri Water Front,,,2.0,,Xã Đa Tốn,Huyện Gia Lâm,60.0,2.0
Hà Nội Melody Residences,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,75.0,2.0
Helios Tower 75 Tam Trinh,,,3.0,,Phường Mai Động,Quận Hoàng Mai,99.0,2.0
,,,2.0,,Phường Bồ Đề,Quận Long Biên,90.0,-1.0
Gemek Tower,,,3.0,,Xã An Khánh,Huyện Hoài Đức,115.0,2.0
PCC1 Triều Khúc,,,2.0,,,Quận Thanh Xuân,62.0,2.0
Viha Complex,,,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,93.0,2.0
Chung cư The Wisteria,,,3.0,,Xã Di Trạch,Huyện Hoài Đức,138.0,3.0
,Nam,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Tân Mai,Quận Hoàng Mai,68.0,-1.0
The Pavilion - Vinhomes Ocean Park,,,1.0,,Xã Dương Xá,Huyện Gia Lâm,33.0,1.0
,,Giấy tờ hợp lệ,3.0,27.0,Phường Nhân Chính,Quận Thanh Xuân,130.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Quỳnh Mai,Quận Hai Bà Trưng,60.0,-1.0
,,,2.0,1.0,Phường Trung Hòa,Quận Cầu Giấy,62.0,-1.0
KĐT Linh Đàm,,,2.0,,Phường Đại Kim,Quận Hoàng Mai,46.0,1.0
Trung Hòa Nhân Chính,,,2.0,,,Quận Cầu Giấy,70.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Vĩnh Hưng,Quận Hoàng Mai,100.0,-1.0
Chung cư Ruby City CT3,,,2.0,,,Quận Long Biên,48.0,2.0
,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,67.0,-1.0
,,,3.0,3.0,Phường Thanh Trì,Quận Hoàng Mai,104.0,-1.0
Sunshine City,,,3.0,,,Quận Bắc Từ Liêm,104.0,2.0
Việt Hưng,,,2.0,,Phường Đức Giang,Quận Long Biên,76.0,1.0
The Pride,,,2.0,,Phường La Khê,Quận Hà Đông,72.0,2.0
Sakura Tower,,,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,97.0,2.0
KĐT Trung Yên,,,2.0,,,Quận Cầu Giấy,68.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,101.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,21.0,Phường Quan Hoa,Quận Cầu Giấy,90.0,-1.0
Việt Hưng,,,2.0,,Phường Đức Giang,Quận Long Biên,73.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,92.0,-1.0
,,,2.0,6.0,Phường Ngọc Hà,Quận Ba Đình,50.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Phường Trung Hòa,Quận Cầu Giấy,80.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Vĩnh Tuy,Quận Hai Bà Trưng,80.0,-1.0
Five Star Kim Giang,Nam,,3.0,,Phường Kim Giang,Quận Thanh Xuân,82.0,2.0
Harmony Square,,,2.0,,Phường Nhân Chính,Quận Thanh Xuân,75.0,2.0
Thanh Hà Mường Thanh,Nam,,2.0,17.0,Phường Kiến Hưng,Quận Hà Đông,72.0,2.0
,,,3.0,1.0,Xã Tân Triều,Huyện Thanh Trì,98.0,-1.0
Booyoung Vina,,,3.0,,Phường Mỗ Lao,Quận Hà Đông,96.0,-1.0
Roman Plaza,,,3.0,,Phường Đại Mỗ,Quận Nam Từ Liêm,101.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,2.0,Phường Kim Liên,Quận Đống Đa,80.0,-1.0
Rose Town 79 Ngọc Hồi,,,4.0,,Phường Hoàng Liệt,Quận Hoàng Mai,127.0,-1.0
Vinhomes D'Capitale,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,73.0,2.0
Hà Nội Melody Residences,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,65.0,2.0
Đường Phạm Hùng,,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,106.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,11.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,128.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Dịch Vọng Hậu,Quận Cầu Giấy,70.0,-1.0
Eco Lake View,Tây,,3.0,,,Quận Hoàng Mai,90.0,2.0
,,,3.0,,Phường Xuân Tảo,Quận Bắc Từ Liêm,95.0,-1.0
96 Định Công,,,3.0,,Phường Phương Liệt,Quận Thanh Xuân,96.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,5.0,Phường Nghĩa Đô,Quận Cầu Giấy,100.0,-1.0
,,,2.0,,Phường Yên Hòa,Quận Cầu Giấy,65.0,-1.0
,Tây Nam,,3.0,20.0,Phường Văn Quán,Quận Hà Đông,72.0,-1.0
Golden Palace,Bắc,,3.0,,Phường Mễ Trì,Quận Nam Từ Liêm,118.0,2.0
The Artemis,,,2.0,,Phường Khương Mai,Quận Thanh Xuân,80.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,124.0,-1.0
Green Park Trần Thủ Độ,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,79.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,82.0,-1.0
Vinhomes D'Capitale,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,51.0,1.0
HH2 Bắc Hà,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,133.0,2.0
Yên Hòa Condominium,,,3.0,,Phường Yên Hòa,Quận Cầu Giấy,100.0,2.0
Hinode City,,,3.0,,Phường Minh Khai,Quận Hai Bà Trưng,105.0,2.0
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,3.0,16.0,Phường Yên Hòa,Quận Cầu Giấy,78.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phường Khương Trung,Quận Thanh Xuân,78.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Hoàng Văn Thụ,Quận Hoàng Mai,70.0,-1.0
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Xã Tân Triều,Huyện Thanh Trì,67.0,-1.0
Imperia Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,65.0,2.0
187 Tây Sơn,,,2.0,,,Quận Đống Đa,66.0,1.0
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phường Cầu Diễn,Quận Nam Từ Liêm,87.0,-1.0
The Terra An Hưng,,,3.0,,Phường Dương Nội,Quận Hà Đông,90.0,2.0
The Terra An Hưng,,,3.0,,Phường Dương Nội,Quận Hà Đông,97.0,2.0
,,,3.0,8.0,Phường Trung Hòa,Quận Cầu Giấy,87.0,-1.0
Hoàng Thành Pearl,,,2.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,79.0,2.0
Trung Hòa Nhân Chính,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,117.0,2.0
,,,2.0,27.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,75.0,-1.0
Kim Văn Kim Lũ,,,1.0,,,Quận Hoàng Mai,45.0,1.0
89 Phùng Hưng,,,3.0,,Phường Phúc La,Quận Hà Đông,81.0,2.0
,,,2.0,1.0,Phường Tây Mỗ,Quận Nam Từ Liêm,88.0,-1.0
The Zei Mỹ Đình,,,3.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,110.0,2.0
,,,1.0,,Phường Phú Thượng,Quận Tây Hồ,41.0,-1.0
Imperia Smart City,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,63.0,2.0
Rose Town 79 Ngọc Hồi,,,2.0,,Phường Hoàng Liệt,Quận Hoàng Mai,71.0,-1.0
Khu đô thị mới Xa La,,,2.0,,Phường Phúc La,Quận Hà Đông,70.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Dịch Vọng,Quận Cầu Giấy,83.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,8.0,Phường Cầu Diễn,Quận Nam Từ Liêm,122.0,-1.0
Imperia Sola Park,,,2.0,,Phường Tây Mỗ,Quận Nam Từ Liêm,54.0,2.0
The Emerald CT8 Mỹ Đình,,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,90.0,2.0
Eurowindow Multi Complex,,,2.0,,Phường Trung Hòa,Quận Cầu Giấy,80.0,2.0
,,Giấy tờ hợp lệ,3.0,26.0,Phường Hạ Đình,Quận Thanh Xuân,96.0,-1.0
Chelsea Residences,,,4.0,,,Quận Cầu Giấy,132.0,2.0
Chung cư The Wisteria,,,3.0,,Xã Di Trạch,Huyện Hoài Đức,138.0,3.0
Intracom1,,,3.0,,,Quận Nam Từ Liêm,117.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,86.0,-1.0
,,,2.0,,Phường Trần Phú,Quận Hoàng Mai,72.0,2.0
Cầu Giấy Center Point,,,3.0,,Phường Quan Hoa,Quận Cầu Giấy,127.0,2.0
30 Phạm Văn Đồng,,,2.0,,,Quận Cầu Giấy,57.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Mỹ Đình 2,Quận Nam Từ Liêm,126.0,-1.0
Vinhomes Cổ Loa,,,2.0,,,Huyện Đông Anh,58.0,2.0
Feliz Homes,,,3.0,,,Quận Hoàng Mai,96.0,2.0
25 Vũ Ngọc Phan,,,2.0,,Phường Láng Hạ,Quận Đống Đa,90.0,2.0
,,,3.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,116.0,-1.0
Chung cư Đại Thanh,,,2.0,,Xã Tả Thanh Oai,Huyện Thanh Trì,66.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Trung Hòa,Quận Cầu Giấy,131.0,-1.0
,,,3.0,,,Quận Thanh Xuân,93.0,-1.0
,,,3.0,20.0,Phường Phú La,Quận Hà Đông,116.0,-1.0
,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,3.0,30.0,Phường La Khê,Quận Hà Đông,100.0,-1.0
The Link 345-CT1,Đông,,3.0,,Phường Đông Ngạc,Quận Bắc Từ Liêm,114.0,2.0
,,Giấy tờ hợp lệ,2.0,,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,80.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,6.0,Phường Thượng Thanh,Quận Long Biên,61.0,-1.0
The Link 345-CT1,Tây,,3.0,,,Quận Bắc Từ Liêm,114.0,2.0
,,,3.0,15.0,Phường Phú La,Quận Hà Đông,110.0,-1.0
Hà Nội Center Point,,,2.0,,Phường Nhân Chính,Quận Thanh Xuân,64.0,2.0
The Golden Palm Lê Văn Lương,,,2.0,,Phường Nhân Chính,Quận Thanh Xuân,85.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Quang Trung,Quận Hà Đông,92.0,-1.0
Hà Nội Melody Residences,,,3.0,,Phường Hoàng Liệt,Quận Hoàng Mai,101.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phường Thanh Xuân Bắc,Quận Thanh Xuân,75.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường La Khê,Quận Hà Đông,113.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Xã Vĩnh Ngọc,Huyện Đông Anh,72.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phường Đại Mỗ,Quận Nam Từ Liêm,65.0,-1.0
An Bình Plaza,,,2.0,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,57.0,1.0
,,,1.0,,Phường Láng Hạ,Quận Đống Đa,70.0,1.0
,,,2.0,,Phường Đội Cấn,Quận Ba Đình,75.0,2.0
Đường Phạm Hùng,,,2.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,48.0,-1.0
FLC Green Apartment,,,2.0,,,Quận Nam Từ Liêm,60.0,2.0
Khu đô thị Vinhomes SkyLake,,,1.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,54.0,-1.0
Vimeco I - Phạm Hùng,,,4.0,,Phường Trung Hòa,Quận Cầu Giấy,142.0,2.0
Eco Green City,,,3.0,,,Huyện Thanh Trì,105.0,2.0
90 Nguyễn Tuân,,,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,96.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phường Thanh Xuân Trung,Quận Thanh Xuân,100.0,-1.0
Xuân Mai Complex,,,2.0,,Phường Yên Nghĩa,Quận Hà Đông,62.0,2.0
Trung Hòa Nhân Chính,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,152.0,2.0
,,,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,135.0,-1.0
Mễ Trì Thượng,,,1.0,,Phường Mễ Trì,Quận Nam Từ Liêm,45.0,1.0
Nhà ở xã hội Kiến Hưng - Lucky House,,,2.0,,Phường Kiến Hưng,Quận Hà Đông,70.0,-1.0
,,,3.0,,Phường Trung Liệt,Quận Đống Đa,100.0,2.0
Chung cư The Wisteria,Tây,,3.0,,Xã Di Trạch,Huyện Hoài Đức,100.0,2.0
Vinhomes D'Capitale,,,3.0,,Phường Trung Hòa,Quận Cầu Giấy,100.0,2.0
Làng Việt Kiều Châu Âu Euroland,,,2.0,,,Quận Hà Đông,73.0,-1.0
Thành Phố Giao Lưu,,,2.0,,,Quận Bắc Từ Liêm,74.0,2.0
,,,3.0,,Phường Thượng Đình,Quận Thanh Xuân,67.0,1.0
Phường Thổ Quan,,,2.0,,,Quận Đống Đa,58.0,-1.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phường Vạn Phúc,Quận Hà Đông,78.0,-1.0
Hà Nội Center Point,,,2.0,,Phường Nhân Chính,Quận Thanh Xuân,68.0,2.0
Vinhomes Ocean Park Gia Lâm,,,3.0,,Xã Dương Xá,Huyện Gia Lâm,80.0,2.0
Sunshine Green Iconic,,,2.0,,Phường Phúc Đồng,Quận Long Biên,79.0,2.0
,,,3.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,95.0,-1.0
,,,3.0,11.0,Phường Láng Hạ,Quận Đống Đa,133.0,-1.0
Hà Nội Paragon,,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,108.0,-1.0
Anland Complex,,,2.0,,Phường La Khê,Quận Hà Đông,54.0,1.0
Mipec Rubik 360,Đông,,3.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,95.0,2.0
Golden Field Mỹ Đình,,,2.0,,Phường Cầu Diễn,Quận Nam Từ Liêm,81.0,2.0
Sunrise Garden (Bình Minh Garden),,,2.0,,Phường Đức Giang,Quận Long Biên,74.0,-1.0
CT2 Viettel Trung Văn,,,3.0,,Phường Trung Văn,Quận Nam Từ Liêm,112.0,-1.0
Vinhomes Skylake,,,2.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,65.0,2.0
Rice City Sông Hồng,,,2.0,,,Quận Long Biên,68.0,2.0
HPC Landmark 105,,,3.0,,,Quận Hà Đông,120.0,2.0
Nam Đô Complex,,,3.0,,,Quận Hoàng Mai,96.0,2.0
,,,3.0,13.0,Phường Hạ Đình,Quận Thanh Xuân,135.0,-1.0
,Đông,,2.0,,Phường Dịch Vọng Hậu,Quận Cầu Giấy,70.0,1.0
Việt Hưng,,,3.0,,Phường Đức Giang,Quận Long Biên,103.0,2.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,19.0,Phường Trần Phú,Quận Hoàng Mai,54.0,-1.0
310 Minh Khai,Tây,,2.0,,,Quận Hai Bà Trưng,98.0,2.0
