duAn,huong,phapLy,noBed,soLau,Street,Precinct,District,acreage_value,price_value,noBathroom,price_per_area
Times City,Đông,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,75.0,6.73,2.0,89.73333333333333
Thăng Long Garden 250 Minh Khai,,,2.0,,Đường Minh Khai,Phường Minh Khai,Quận Hai Bà Trưng,66.0,4.1,2.0,62.121212121212125
,,,2.0,,Đường Minh Khai,Phường Minh Khai,Quận Hai Bà Trưng,50.0,1.35,,27.0
Hòa Bình Green City,,,2.0,,Phố Mạc Thị Bưởi,Phường Vĩnh Tuy,Quận Hai Bà Trưng,95.0,5.8,2.0,61.05263157894737
Hòa Bình Green City,,,2.0,,Phố Mạc Thị Bưởi,Phường Vĩnh Tuy,Quận Hai Bà Trưng,95.0,5.8,2.0,61.05263157894737
Imperia Sky Garden,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,75.0,5.85,2.0,78.0
,,,2.0,,,Phường Minh Khai,Quận Hai Bà Trưng,98.0,4.98,2.0,50.816326530612244
Chung cư 622 Minh Khai,,,2.0,,Đường Minh Khai,Phường Minh Khai,Quận Hai Bà Trưng,70.0,3.9,2.0,55.714285714285715
Amber Riverside,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,83.0,5.6,2.0,67.46987951807229
Times City - Park Hill,Nam,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,76.0,6.75,2.0,88.8157894736842
Times City,,,2.0,,,,Quận Hai Bà Trưng,78.0,6.88,2.0,88.2051282051282
Chung cư 622 Minh Khai,,,2.0,,Đường Minh Khai,Phường Minh Khai,Quận Hai Bà Trưng,70.0,3.9,2.0,55.714285714285715
Times City - Park Hill,Nam,,2.0,,,,Quận Hai Bà Trưng,80.0,7.25,2.0,90.625
Sunshine Garden,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,80.0,4.8,2.0,60.0
Times City,Đông,,2.0,,,,Quận Hai Bà Trưng,87.0,5.66,2.0,65.05747126436782
Imperia Sky Garden,Đông,,2.0,,,,Quận Hai Bà Trưng,76.0,5.55,2.0,73.02631578947368
Amber Riverside,Nam,,2.0,,,,Quận Hai Bà Trưng,74.0,5.18,2.0,70.0
Amber Riverside,Đông,,2.0,,,,Quận Hai Bà Trưng,74.0,5.18,2.0,70.0
,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,76.0,6.9,2.0,90.78947368421052
,,,2.0,,Đường Kim Ngưu,Phường Quỳnh Mai,Quận Hai Bà Trưng,30.0,2.73,1.0,91.0
Times City - Park Hill,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,80.0,6.8,,85.0
Sunshine Garden,,,2.0,,,,Quận Hai Bà Trưng,86.0,5.0,,58.13953488372093
Times City,Bắc,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,95.0,5.85,2.0,61.578947368421055
,,,2.0,,Đường Cầu Vĩnh Tuy,Phường Vĩnh Tuy,Quận Hai Bà Trưng,120.0,3.25,2.0,27.083333333333332
Times City,Bắc,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,76.0,6.8,2.0,89.47368421052632
,,,2.0,,Phố Quỳnh Mai,Phường Quỳnh Mai,Quận Hai Bà Trưng,68.0,2.58,,37.94117647058823
Times City,,,2.0,,,,Quận Hai Bà Trưng,75.0,4.1,2.0,54.666666666666664
Times City - Park Hill,Bắc,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,83.0,6.0,2.0,72.28915662650603
Chung cư 622 Minh Khai,Nam,,2.0,,Đường Minh Khai,Phường Minh Khai,Quận Hai Bà Trưng,67.0,3.9,2.0,58.208955223880594
Times City - Park Hill,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,80.0,6.65,2.0,83.125
Times City - Park Hill,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,80.0,6.65,2.0,83.125
Times City - Park Hill,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,80.0,6.7,2.0,83.75
93 Lò Đúc - Kinh Đô Tower,Tây,,2.0,,Phố Lò Đúc,Phường Phạm Đình Hổ,Quận Hai Bà Trưng,98.0,5.41,2.0,55.204081632653065
Chung cư 536A Minh Khai,,,2.0,,,,Quận Hai Bà Trưng,55.0,3.7,2.0,67.27272727272727
Times City,Nam,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,75.0,5.9,2.0,78.66666666666667
Times City - Park Hill,Nam,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,83.0,6.3,2.0,75.90361445783132
Times City - Park Hill,Bắc,,2.0,,,,Quận Hai Bà Trưng,83.0,6.5,2.0,78.3132530120482
Times City,Bắc,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,75.0,6.93,2.0,92.4
,,,2.0,,Phố Lò Đúc,Phường Đống Mác,Quận Hai Bà Trưng,45.0,2.18,,48.44444444444444
,,,2.0,,Đường Thanh Nhàn,Phường Thanh Nhàn,Quận Hai Bà Trưng,60.0,3.25,1.0,54.166666666666664
,,,2.0,,Đường Thanh Nhàn,Phường Thanh Nhàn,Quận Hai Bà Trưng,60.0,2.48,1.0,41.333333333333336
Times City - Park Hill,Bắc,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,83.0,6.4,2.0,77.10843373493977
Times City,Nam,,2.0,,,,Quận Hai Bà Trưng,80.0,5.0,2.0,62.5
Times City - Park Hill,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,80.0,5.5,2.0,68.75
Park Hill Premium - Times City,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,70.0,5.5,,78.57142857142857
Park Hill Premium - Times City,Đông,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,70.0,6.0,2.0,85.71428571428571
,,,2.0,,Đường Nguyễn Hiền,Phường Bách Khoa,Quận Hai Bà Trưng,65.0,2.68,1.0,41.23076923076923
Times City - Park Hill,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,75.0,6.65,2.0,88.66666666666667
Park Hill Premium - Times City,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,68.0,6.3,2.0,92.6470588235294
Times City,Bắc,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,64.0,5.6,2.0,87.5
Times City,Nam,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,87.0,7.3,2.0,83.9080459770115
Times City,Bắc,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,76.0,6.2,2.0,81.57894736842105
,,,2.0,,Phố Đại La,Phường Đồng Tâm,Quận Hai Bà Trưng,30.0,2.35,1.0,78.33333333333333
Times City - Park Hill,Nam,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,80.0,7.5,2.0,93.75
Times City - Park Hill,Tây,,2.0,,,,Quận Hai Bà Trưng,80.0,6.7,2.0,83.75
Times City - Park Hill,Bắc,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,76.0,6.3,2.0,82.89473684210526
Times City,Nam,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,83.0,6.3,2.0,75.90361445783132
,,,2.0,,Phố Quỳnh Mai,Phường Quỳnh Mai,Quận Hai Bà Trưng,70.0,3.0,,42.857142857142854
Times City,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,75.0,6.5,2.0,86.66666666666667
Imperia Sky Garden,,,2.0,,,,Quận Hai Bà Trưng,77.0,4.62,2.0,60.0
,,,2.0,,Đường Kim Ngưu,Phường Thanh Nhàn,Quận Hai Bà Trưng,60.0,3.38,2.0,56.333333333333336
,,,2.0,,,Phường Thanh Nhàn,Quận Hai Bà Trưng,40.0,3.2,1.0,80.0
Times City,Bắc,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,79.0,7.1,2.0,89.87341772151899
,Đông,,2.0,,Phố Lạc Trung,Phường Vĩnh Tuy,Quận Hai Bà Trưng,52.0,3.3,1.0,63.46153846153846
Amber Riverside,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,67.0,3.99,2.0,59.55223880597015
Times City - Park Hill,,,2.0,,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,83.0,6.05,2.0,72.89156626506023
Sunshine Garden,,,2.0,,Đường Dương Văn Bé,Phường Vĩnh Tuy,Quận Hai Bà Trưng,84.0,5.5,2.0,65.47619047619048
Đường Lý Nam Đế,,,2.0,,Đường Lý Nam Đế,Phường Hàng Mã,Quận Hoàn Kiếm,60.0,3.2,,53.333333333333336
,,Giấy chứng nhận quyền sở hữu đất,2.0,11.0,Phố Lý Thường Kiệt,Phường Trần Hưng Đạo,Quận Hoàn Kiếm,68.0,4.5,,66.17647058823529
,,,2.0,,Đường Vọng Hà,Phường Trần Hưng Đạo,Quận Hoàn Kiếm,40.0,2.7,,67.5
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phố Trương Hán Siêu,Phường Trần Hưng Đạo,Quận Hoàn Kiếm,70.0,4.15,,59.285714285714285
,,Giấy chứng nhận quyền sở hữu đất,2.0,4.0,Phố Nguyễn Văn Tố,Phường Cửa Đông,Quận Hoàn Kiếm,60.0,3.65,,60.833333333333336
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phố Trương Hán Siêu,Phường Trần Hưng Đạo,Quận Hoàn Kiếm,85.0,4.09,,48.11764705882353
,,Giấy tờ hợp lệ,2.0,4.0,Phố Nguyễn Văn Tố,Phường Cửa Nam,Quận Hoàn Kiếm,80.0,4.15,,51.875
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phố Trương Hán Siêu,Phường Trần Hưng Đạo,Quận Hoàn Kiếm,70.0,4.15,,59.285714285714285
,,Giấy tờ hợp lệ,2.0,1.0,Phố Tràng Tiền,Phường Tràng Tiền,Quận Hoàn Kiếm,52.0,3.05,,58.65384615384615
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phố Hai Bà Trưng,Phường Tràng Tiền,Quận Hoàn Kiếm,52.0,4.4,,84.61538461538461
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Hai Bà Trưng,Phường Tràng Tiền,Quận Hoàn Kiếm,50.0,4.4,,88.0
,,Giấy tờ hợp lệ,2.0,19.0,Phố Lý Thường Kiệt,Phường Trần Hưng Đạo,Quận Hoàn Kiếm,68.0,4.7,,69.11764705882354
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Trần Hưng Đạo,Phường Trần Hưng Đạo,Quận Hoàn Kiếm,60.0,3.6,,60.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Trương Hán Siêu,Phường Trần Hưng Đạo,Quận Hoàn Kiếm,70.0,4.2,,60.0
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Phố Vọng Hà,Phường Chương Dương,Quận Hoàn Kiếm,60.0,2.99,,49.833333333333336
,,Giấy chứng nhận quyền sở hữu đất,2.0,4.0,Phố Nguyễn Văn Tố,Phường Cửa Đông,Quận Hoàn Kiếm,70.0,4.1,,58.57142857142857
,,,2.0,,Đường Trương Hán Siêu,Phường Trần Hưng Đạo,Quận Hoàn Kiếm,90.0,4.09,1.0,45.44444444444444
,,,2.0,,Đường Vọng Đức,Phường Hàng Bài,Quận Hoàn Kiếm,55.0,4.7,1.0,85.45454545454545
,,,2.0,,Phố Tràng Tiền,Phường Tràng Tiền,Quận Hoàn Kiếm,53.0,3.0,1.0,56.60377358490566
,,,2.0,,Phố Tràng Tiền,Phường Tràng Tiền,Quận Hoàn Kiếm,52.0,3.05,2.0,58.65384615384615
HH2 Linh Đàm,,,2.0,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,67.0,1.51,,22.53731343283582
HH2 Linh Đàm,,,2.0,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,48.0,1.23,,25.625
Đường Linh Đường,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,56.0,1.37,,24.464285714285715
CT3 Tây Nam Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,58.0,2.08,,35.86206896551724
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,,2.0,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,68.0,2.36,,34.705882352941174
Khu đô thị Kim Văn Kim Lũ,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,45.0,1.32,,29.333333333333332
HH3 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,63.0,1.45,,23.015873015873016
Eco Lake View,,,2.0,,Đường Đại Từ,Phường Đại Kim,Quận Hoàng Mai,74.0,2.63,,35.54054054054054
Khu đô thị Kim Văn Kim Lũ,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,65.0,1.75,,26.923076923076923
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,,2.0,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,54.0,1.75,,32.407407407407405
HH4 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,47.0,1.21,,25.74468085106383
HH4 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,45.0,1.2,,26.666666666666668
CT36 Dream Home,,,2.0,,,,Quận Hoàng Mai,60.0,2.2,,36.666666666666664
Feliz Homes,,,2.0,,,Phường Hoàng Văn Thụ,Quận Hoàng Mai,65.0,2.8,,43.07692307692308
Khu đô thị Kim Văn Kim Lũ,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,69.0,1.55,,22.463768115942027
Khu đô thị Kim Văn Kim Lũ,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,69.0,1.95,,28.26086956521739
Rainbow Linh Đàm,,,2.0,,Đường Linh Đàm,,Quận Hoàng Mai,76.0,2.8,,36.8421052631579
HH2 Linh Đàm,,,2.0,,Đường Linh Đàm,,Quận Hoàng Mai,56.0,1.36,,24.285714285714285
Thanh Bình Garden,,,2.0,,Đường Nguyễn Cảnh Dị,Phường Định Công,Quận Hoàng Mai,46.0,2.16,,46.95652173913044
HH2 Linh Đàm,,,2.0,,Đường Linh Đàm,,Quận Hoàng Mai,56.0,1.36,,24.285714285714285
Thanh Bình Garden,,,2.0,,Đường Nguyễn Cảnh Dị,Phường Định Công,Quận Hoàng Mai,46.0,2.16,,46.95652173913044
Feliz Homes,,,2.0,,,Phường Hoàng Văn Thụ,Quận Hoàng Mai,65.0,2.8,,43.07692307692308
HH1 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,56.0,1.46,,26.071428571428573
Feliz Homes,,,2.0,,,Phường Hoàng Văn Thụ,Quận Hoàng Mai,77.0,2.95,,38.311688311688314
HH2 Linh Đàm,,,2.0,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,48.0,1.24,,25.833333333333332
HH3 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,46.0,1.18,,25.652173913043477
Đường Giải Phóng,,,2.0,,Đường Giải Phóng,Phường Giáp Bát,Quận Hoàng Mai,54.0,0.95,,17.59259259259259
T&T DC Complex,,,2.0,,Đường Định Công,Phường Định Công,Quận Hoàng Mai,65.0,3.0,,46.15384615384615
Đường Hoàng Mai,,,2.0,,Đường Hoàng Mai,Phường Hoàng Văn Thụ,Quận Hoàng Mai,50.0,1.2,,24.0
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,,2.0,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,68.0,2.35,,34.55882352941177
VP5 Linh Đàm,,,2.0,,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,62.0,2.05,,33.064516129032256
Khu đô thị Kim Văn Kim Lũ,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,55.0,1.17,,21.272727272727273
HH2 Linh Đàm,,,2.0,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,48.0,1.21,,25.208333333333332
Phương Đông Green Park,,,2.0,,Đường Trần Thủ Độ,Phường Hoàng Liệt,Quận Hoàng Mai,83.0,3.45,,41.566265060240966
Khu đô thị mới Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,45.0,1.16,,25.77777777777778
Rose Town 79 Ngọc Hồi,,,2.0,,Đường Ngọc Hồi,Phường Hoàng Liệt,Quận Hoàng Mai,71.0,2.7,,38.028169014084504
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,,2.0,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,68.0,2.35,,34.55882352941177
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,,2.0,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,68.0,2.35,,34.55882352941177
Eco Lake View,,,2.0,,Đường Đại Từ,Phường Đại Kim,Quận Hoàng Mai,69.0,2.68,,38.84057971014493
HH1 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,66.0,1.45,,21.96969696969697
Khu đô thị Kim Văn Kim Lũ,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,69.0,1.9,,27.536231884057973
Thông Tấn Xã Việt Nam,,,2.0,,Đường Nguyễn Xiển,Phường Đại Kim,Quận Hoàng Mai,75.0,2.75,,36.666666666666664
Đường Nguyễn Hữu Thọ,,,2.0,,Đường Nguyễn Hữu Thọ,Phường Hoàng Liệt,Quận Hoàng Mai,72.0,1.7,,23.61111111111111
Khu đô thị Kim Văn Kim Lũ,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,69.0,1.9,,27.536231884057973
The One Residence,,,2.0,,Đường Pháp Vân,Phường Yên Sở,Quận Hoàng Mai,72.0,2.5,,34.72222222222222
VP5 Linh Đàm,,,2.0,,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,62.0,2.05,,33.064516129032256
Khu đô thị mới Linh Đàm,,,2.0,,Đường Linh Đàm,Phường Đại Kim,Quận Hoàng Mai,50.0,1.85,,37.0
Khu đô thị mới Đại Kim,,,2.0,,Đường Nguyễn Cảnh Dị,Phường Đại Kim,Quận Hoàng Mai,59.0,2.0,,33.898305084745765
HH1 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,67.0,1.56,,23.28358208955224
Feliz Homes,,,2.0,,,Phường Hoàng Văn Thụ,Quận Hoàng Mai,77.0,3.0,,38.96103896103896
Đường Giáp Nhị,,,2.0,,Đường Giáp Nhị,Phường Thịnh Liệt,Quận Hoàng Mai,85.0,2.46,,28.941176470588236
HH1 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,57.0,1.49,,26.140350877192983
Thanh Bình Garden,,,2.0,,Đường Nguyễn Cảnh Dị,Phường Định Công,Quận Hoàng Mai,46.0,2.0,,43.47826086956522
CT3 Tây Nam Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,58.0,2.16,,37.241379310344826
HH1 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,48.0,1.1,,22.916666666666668
Thanh Bình Garden,,,2.0,,Đường Nguyễn Cảnh Dị,Phường Định Công,Quận Hoàng Mai,52.0,2.44,,46.92307692307692
HH4 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,67.0,1.6,,23.880597014925375
KĐT Tây Nam Kim Giang,,,2.0,,Đường Kim Giang,Phường Đại Kim,Quận Hoàng Mai,80.0,2.75,,34.375
Đường Giải Phóng,,,2.0,,Đường Giải Phóng,Phường Giáp Bát,Quận Hoàng Mai,64.0,2.56,,40.0
Rose Town 79 Ngọc Hồi,,,2.0,,,,Quận Hoàng Mai,71.0,2.63,,37.04225352112676
Khu đô thị Kim Văn Kim Lũ,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,63.0,1.85,,29.365079365079364
Khu đô thị Kim Văn Kim Lũ,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,63.0,1.85,,29.365079365079364
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,,2.0,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,68.0,2.35,,34.55882352941177
Khu đô thị mới Đại Kim,,,2.0,,Đường Nguyễn Cảnh Dị,Phường Đại Kim,Quận Hoàng Mai,58.0,2.03,,34.99999999999999
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,,2.0,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,72.0,2.35,,32.638888888888886
Đường Minh Khai,,,2.0,,Đường Minh Khai,Phường Hoàng Văn Thụ,Quận Hoàng Mai,50.0,1.26,,25.2
Khu đô thị Kim Văn Kim Lũ,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,65.0,1.34,,20.615384615384617
Đường Đền Lừ,,,2.0,,Đường Đền Lừ,Phường Hoàng Văn Thụ,Quận Hoàng Mai,60.0,1.68,,28.0
HH1 Linh Đàm,,,2.0,,Đường Linh Đàm,,Quận Hoàng Mai,56.0,1.42,,25.357142857142858
Khu đô thị mới Đại Kim,,,2.0,,Đường Đại Kim,,Quận Hoàng Mai,71.0,1.95,,27.464788732394368
Khu đô thị Kim Văn Kim Lũ,,,2.0,,,,Quận Hoàng Mai,54.0,1.12,,20.74074074074074
Khu đô thị mới Đại Kim,,,2.0,,Đường Đại Kim,,Quận Hoàng Mai,58.0,2.03,,34.99999999999999
HH1 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,70.0,1.75,,25.0
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,,2.0,,Đường Linh Đàm,,Quận Hoàng Mai,68.0,2.35,,34.55882352941177
Feliz Homes,,,2.0,,,Phường Hoàng Văn Thụ,Quận Hoàng Mai,66.0,2.77,,41.96969696969697
Phương Đông Green Park,,,2.0,,Đường Trần Thủ Độ,Phường Hoàng Liệt,Quận Hoàng Mai,74.0,2.98,,40.270270270270274
HH4 Linh Đàm,,,2.0,,Đường Linh Đàm,,Quận Hoàng Mai,45.0,1.2,,26.666666666666668
T&T DC Complex,,,2.0,,Đường Định Công,Phường Định Công,Quận Hoàng Mai,65.0,2.99,,46.0
HH2 Linh Đàm,,,2.0,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,56.0,1.35,,24.107142857142858
T&T DC Complex,,,2.0,,Đường Định Công,Phường Định Công,Quận Hoàng Mai,65.0,3.0,,46.15384615384615
Eco Lake View,,,2.0,,Đường Đại Từ,Phường Đại Kim,Quận Hoàng Mai,70.0,2.8,,40.0
Nam Đô Complex,,,2.0,,Đường Trương Định,Phường Giáp Bát,Quận Hoàng Mai,89.0,3.25,,36.51685393258427
Nhà ở xã hội Rice City Tây Nam Linh Đàm,,,2.0,,Đường Linh Đàm,,Quận Hoàng Mai,67.0,2.35,,35.07462686567164
Tây Nam Hồ Linh Đàm,,,2.0,,Đường Bằng A,Phường Hoàng Liệt,Quận Hoàng Mai,76.0,2.8,,36.8421052631579
HH1 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,56.0,1.51,,26.964285714285715
Thanh Bình Garden,,,2.0,,Đường Nguyễn Cảnh Dị,Phường Định Công,Quận Hoàng Mai,52.0,2.44,,46.92307692307692
HH2 Linh Đàm,,,2.0,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,63.0,1.42,,22.53968253968254
Eco Lake View,,,2.0,,Đường Đại Từ,Phường Đại Kim,Quận Hoàng Mai,75.0,2.5,,33.333333333333336
Feliz Homes,,,2.0,,,Phường Hoàng Văn Thụ,Quận Hoàng Mai,76.0,3.5,,46.05263157894737
HH1 Linh Đàm,,,2.0,,Đường Linh Đàm,,Quận Hoàng Mai,56.0,1.51,,26.964285714285715
Gelexia Riverside,,,2.0,,Đường Tam Trinh,Phường Yên Sở,Quận Hoàng Mai,75.0,2.0,,26.666666666666668
Khu đô thị Kim Văn Kim Lũ,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,65.0,1.68,,25.846153846153847
Đường Nghiêm Xuân Yêm,,,2.0,,Đường Nghiêm Xuân Yêm,Phường Đại Kim,Quận Hoàng Mai,81.0,2.3,,28.395061728395063
Feliz Homes,,,2.0,,,Phường Hoàng Văn Thụ,Quận Hoàng Mai,91.0,3.96,,43.51648351648352
Rose Town 79 Ngọc Hồi,,,2.0,,Đường Ngọc Hồi,Phường Hoàng Liệt,Quận Hoàng Mai,78.0,2.73,,35.0
Helios Tower,,,2.0,,Đường Tam Trinh,Phường Mai Động,Quận Hoàng Mai,75.0,3.1,,41.333333333333336
Phương Đông Green Park,,,2.0,,Đường Trần Thủ Độ,Phường Hoàng Liệt,Quận Hoàng Mai,74.0,2.8,,37.83783783783784
Rose Town 79 Ngọc Hồi,,,2.0,,Đường Ngọc Hồi,Phường Hoàng Liệt,Quận Hoàng Mai,71.0,2.65,,37.32394366197183
Eco Lake View,,,2.0,,Đường Đại Từ,Phường Đại Kim,Quận Hoàng Mai,74.0,2.4,,32.432432432432435
Eco Lake View,,,2.0,,Đường Đại Từ,Phường Đại Kim,Quận Hoàng Mai,68.0,2.7,,39.705882352941174
Thanh Bình Garden,,,2.0,,Đường Nguyễn Cảnh Dị,Phường Định Công,Quận Hoàng Mai,68.0,2.74,,40.294117647058826
Rose Town 79 Ngọc Hồi,,,2.0,,Đường Ngọc Hồi,Phường Hoàng Liệt,Quận Hoàng Mai,104.0,3.05,,29.326923076923077
K35 Tân Mai,,,2.0,,Đường Tân Mai,Phường Tương Mai,Quận Hoàng Mai,78.0,3.6,,46.15384615384615
The Zen Residence,,,2.0,,Đường Pháp Vân,Phường Yên Sở,Quận Hoàng Mai,75.0,3.35,,44.666666666666664
Sky Central,,,2.0,,Đường Định Công,Phường Định Công,Quận Hoàng Mai,64.0,3.0,,46.875
Feliz Homes,,,2.0,,,,Quận Hoàng Mai,65.0,2.7,,41.53846153846154
Tây Nam Hồ Linh Đàm,,,2.0,,Đường Bằng A,Phường Hoàng Liệt,Quận Hoàng Mai,99.0,3.6,,36.36363636363637
VP5 Linh Đàm,,,2.0,,Đường Linh Đàm,,Quận Hoàng Mai,61.0,2.1,,34.42622950819672
CT36 Dream Home,,,2.0,,,,Quận Hoàng Mai,55.0,2.26,,41.09090909090909
