duAn,huong,phapLy,noBed,soLau,Street,Precinct,District,acreage_value,price_value,noBathroom
,,,2.0,,Đường Nguyễn Hoàng,Phường Mỹ Đình 2,Quận Nam Từ Liêm,75.0,3.6,
,,,3.0,,Đường Đồng Me,Phường Mễ Trì,Quận Nam Từ Liêm,116.0,5.2,
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Đường Phạm Văn Đồng,Phường Mai Dịch,Quận Cầu Giấy,110.0,7.2,
,,,2.0,,Đường Tôn Thất Thuyết,Phường Dịch Vọng Hậu,Quận Cầu Giấy,86.0,6.0,
,,,3.0,,Đường Thành Thái,Phường Dịch Vọng,Quận Cầu Giấy,120.0,7.0,
,,,3.0,,Đường Lê Quang Đạo,Phường Mễ Trì,Quận Nam Từ Liêm,125.0,8.0,
,,,3.0,,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy,138.0,8.5,
,,,2.0,,Phố Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,81.0,4.7,
,,,3.0,,Phố Trung Kính,Phường Yên Hòa,Quận Cầu Giấy,130.0,6.5,
,,,3.0,,Phố Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,97.0,6.0,
,,,3.0,,Đường Phạm Văn Bạch,Phường Yên Hòa,Quận Cầu Giấy,135.0,7.2,
,,,3.0,,Đường Thành Thái,Phường Dịch Vọng,Quận Cầu Giấy,135.0,7.8,
,,,2.0,,Đường Nguyễn Chánh,Phường Yên Hòa,Quận Cầu Giấy,65.0,3.8,
,,,2.0,,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy,98.0,6.5,
,,,3.0,,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy,145.0,7.3,
,,,3.0,,Đường Khuất Duy Tiến,Phường Mễ Trì,Quận Nam Từ Liêm,109.0,5.3,
,,,3.0,,Phố Phùng Chí Kiên,Phường Nghĩa Đô,Quận Cầu Giấy,88.0,5.1,
,,,3.0,,Đường Hoàng Quốc Việt,Phường Nghĩa Đô,Quận Cầu Giấy,104.0,6.0,
,,,2.0,,Phố Trung Kính,Phường Yên Hòa,Quận Cầu Giấy,100.0,5.6,
,,,3.0,,Đường Hoàng Quốc Việt,Phường Xuân La,Quận Tây Hồ,136.0,6.0,
,,,3.0,,Đường Phạm Văn Đồng,Phường Mai Dịch,Quận Cầu Giấy,110.0,6.7,
,,,3.0,,Đường Đồng Me,Phường Mễ Trì,Quận Nam Từ Liêm,128.0,5.5,
,,,3.0,,Phố Duy Tân,Phường Dịch Vọng Hậu,Quận Cầu Giấy,97.0,5.3,
,,,2.0,,Đường Tôn Thất Thuyết,Phường Dịch Vọng Hậu,Quận Cầu Giấy,87.0,5.6,
,,,3.0,,Đường Châu Văn Liêm,Phường Phú Đô,Quận Nam Từ Liêm,83.0,5.2,
,,,3.0,,Đường Xuân La,Phường Xuân Tảo,Quận Bắc Từ Liêm,118.0,7.7,
,,,3.0,,Đường Phạm Hùng,Phường Mỹ Đình 1,Quận Nam Từ Liêm,116.0,5.3,
,,,2.0,,Đường Cổ Nhuế,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,85.0,4.2,
,,,4.0,,Đường Thành Thái,Phường Dịch Vọng,Quận Cầu Giấy,145.0,6.95,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Trần Thủ Độ,Phường Hoàng Liệt,Quận Hoàng Mai,75.0,3.75,
,,,2.0,1.0,Phố Phương Mai,Phường Phương Mai,Quận Đống Đa,60.0,2.76,
,,,3.0,1.0,Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa,50.0,5.5,
,,,3.0,1.0,Phố Hồ Đắc Di,Phường Nam Đồng,Quận Đống Đa,41.0,2.96,
,,,3.0,1.0,Đường Trần Bình,Phường Mỹ Đình 1,Quận Nam Từ Liêm,89.0,5.0,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Lê Đức Thọ,Phường Mỹ Đình 1,Quận Nam Từ Liêm,74.0,4.17,
,,,3.0,1.0,Đường Ngọc Hồi,Phường Hoàng Liệt,Quận Hoàng Mai,94.0,4.85,
,,,3.0,,Đường Nguyễn Xiển,Xã Tân Triều,Huyện Thanh Trì,98.0,6.3,
,,Giấy chứng nhận quyền sở hữu đất,1.0,1.0,Phố Núi Trúc,Phường Giảng Võ,Quận Ba Đình,70.0,4.9,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,,Phường Quảng An,Quận Tây Hồ,82.0,6.7,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Lê Quang Đạo,Phường Mễ Trì,Quận Nam Từ Liêm,89.0,7.0,
,,,4.0,,Phố Lương Định Của,Phường Kim Liên,Quận Đống Đa,70.0,3.2,
,,Giấy chứng nhận quyền sở hữu đất,2.0,30.0,Đường Nguyễn Xiển,Phường Đại Kim,Quận Hoàng Mai,55.0,2.83,
,,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,Phố Thái Thịnh,Phường Ngã Tư Sở,Quận Đống Đa,20.0,2.55,
,,Giấy chứng nhận quyền sở hữu đất,2.0,12.0,Đường Nguyễn Chánh,Phường Yên Hòa,Quận Cầu Giấy,55.0,3.3,
,,Giấy chứng nhận quyền sở hữu đất,2.0,19.0,Đường Nguyễn Tuân,Phường Thanh Xuân Trung,Quận Thanh Xuân,70.0,5.0,
,,Giấy chứng nhận quyền sở hữu đất,3.0,27.0,Đường Xuân Thủy,Phường Dịch Vọng Hậu,Quận Cầu Giấy,95.0,8.8,
,,,2.0,5.0,Đường Nguyễn Cơ Thạch,Phường Cầu Diễn,Quận Nam Từ Liêm,63.0,3.75,
,,Giấy chứng nhận quyền sở hữu đất,2.0,20.0,Đường Hàm Nghi,Phường Cầu Diễn,Quận Nam Từ Liêm,84.0,5.0,
,,Giấy chứng nhận quyền sở hữu đất,2.0,12.0,Đường Xuân Phương,Phường Xuân Phương,Quận Nam Từ Liêm,65.0,3.75,
,,Giấy chứng nhận quyền sở hữu đất,3.0,20.0,Đường Cầu Giấy,Phường Quan Hoa,Quận Cầu Giấy,76.0,9.0,
,,Giấy chứng nhận quyền sở hữu đất,3.0,15.0,Đường Phạm Văn Đồng,Phường Mai Dịch,Quận Cầu Giấy,92.0,8.0,
,,Giấy chứng nhận quyền sở hữu đất,3.0,15.0,Đường Phạm Văn Bạch,Phường Yên Hòa,Quận Cầu Giấy,95.0,7.48,
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Phố Trung Kính,Phường Yên Hòa,Quận Cầu Giấy,69.0,4.6,
,Nam,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Đường Nguyễn Hoàng,Phường Mỹ Đình 2,Quận Nam Từ Liêm,102.0,5.6,
,,Giấy chứng nhận quyền sở hữu đất,3.0,16.0,Đường Tôn Thất Thuyết,Phường Dịch Vọng Hậu,Quận Cầu Giấy,87.0,7.07,
,,Giấy chứng nhận quyền sở hữu đất,2.0,26.0,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm,78.0,4.15,
,,Giấy chứng nhận quyền sở hữu đất,4.0,20.0,Đường Tố Hữu,Phường Đại Mỗ,Quận Nam Từ Liêm,137.0,9.5,
,,Giấy chứng nhận quyền sở hữu đất,3.0,14.0,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy,90.0,4.99,
,,Giấy chứng nhận quyền sở hữu đất,3.0,23.0,Đường Nguyễn Hoàng,Phường Mỹ Đình 2,Quận Nam Từ Liêm,133.0,7.4,
,,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,Phố Trần Thái Tông,Phường Dịch Vọng,Quận Cầu Giấy,80.0,6.8,
,,Giấy chứng nhận quyền sở hữu đất,3.0,17.0,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,111.0,6.4,
,,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Đường Mỹ Đình,Phường Mỹ Đình 2,Quận Nam Từ Liêm,69.0,3.78,
,,Giấy chứng nhận quyền sở hữu đất,3.0,11.0,Đường Lương Thế Vinh,Phường Trung Văn,Quận Nam Từ Liêm,95.0,4.45,
,,Giấy chứng nhận quyền sở hữu đất,2.0,12.0,Đường Lê Đức Thọ,Phường Mai Dịch,Quận Cầu Giấy,69.0,4.0,
,,,3.0,6.0,Phố Ngọc Khánh,Phường Giảng Võ,Quận Ba Đình,130.0,9.35,
,,,3.0,15.0,Phố Ngọc Khánh,Phường Giảng Võ,Quận Ba Đình,105.0,7.5,
,,,2.0,16.0,Phố Hoàng Cầu,Phường Ô Chợ Dừa,Quận Đống Đa,64.0,4.5,
,,,3.0,12.0,Đường Giảng Võ,Phường Giảng Võ,Quận Ba Đình,112.0,9.0,
,,,2.0,18.0,Đường Trung Hòa,Phường Trung Hòa,Quận Cầu Giấy,83.0,6.0,
,,,2.0,9.0,Đường Nguyễn Chánh,Phường Trung Hòa,Quận Cầu Giấy,70.0,3.95,
,,,3.0,12.0,Đường Thành Thái,Phường Dịch Vọng,Quận Cầu Giấy,110.0,5.75,
,,Giấy chứng nhận quyền sở hữu đất,3.0,5.0,Đường Cổ Nhuế,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,77.0,4.45,
,,,3.0,5.0,Đường Thanh Đàm,Phường Thanh Trì,Quận Hoàng Mai,104.0,3.5,
,,,3.0,17.0,Đường Nguyễn Cơ Thạch,Phường Cầu Diễn,Quận Nam Từ Liêm,130.0,6.9,
,,,3.0,8.0,Đường Yên Hòa,Phường Yên Hòa,Quận Cầu Giấy,104.0,5.65,
,,,2.0,12.0,Đường Lê Đức Thọ,Phường Mai Dịch,Quận Cầu Giấy,69.0,4.6,
,,,3.0,14.0,Đường Nguyễn Cơ Thạch,Phường Cầu Diễn,Quận Nam Từ Liêm,122.0,5.5,
,,,2.0,13.0,Đường Hoàng Quốc Việt,Phường Nghĩa Đô,Quận Cầu Giấy,111.0,7.1,
,,,3.0,26.0,Đường Trần Bình,Phường Mỹ Đình 2,Quận Nam Từ Liêm,87.0,5.5,
,,,2.0,5.0,Đường Lê Đức Thọ,Phường Mai Dịch,Quận Cầu Giấy,71.0,3.75,
,,,2.0,5.0,Phố Vọng,Phường Đồng Tâm,Quận Hai Bà Trưng,50.0,0.755,
,,,2.0,5.0,Phố Thái Hà,Phường Trung Liệt,Quận Đống Đa,53.0,0.65,
,,,2.0,5.0,Đường Xã Đàn 2,Phường Nam Đồng,Quận Đống Đa,58.0,0.846,
,,,2.0,5.0,Đường Trần Cung,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,50.0,0.8,
,,,2.0,4.0,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,51.0,0.858,
,,,2.0,5.0,Đường Giải Phóng,Phường Giáp Bát,Quận Hoàng Mai,52.0,0.865,
,,,2.0,4.0,Phố Võ Thị Sáu,Phường Thanh Nhàn,Quận Hai Bà Trưng,52.0,0.899,
,,Giấy chứng nhận quyền sở hữu đất,3.0,2.0,Phố Vĩnh Phúc,Phường Vĩnh Phúc,Quận Ba Đình,90.0,4.5,
,,Giấy chứng nhận quyền sở hữu đất,3.0,18.0,Đường Mỹ Đình,Phường Mỹ Đình 1,Quận Nam Từ Liêm,135.0,6.0,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Nguyễn Chí Thanh,Phường Láng Hạ,Quận Đống Đa,40.0,2.4,
,,,3.0,,Phố Đại Từ,Phường Đại Kim,Quận Hoàng Mai,110.0,5.45,
,,Giấy chứng nhận quyền sở hữu đất,2.0,12.0,Phố Võ Thị Sáu,Phường Thanh Nhàn,Quận Hai Bà Trưng,60.0,2.68,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Khương Trung,Phường Khương Trung,Quận Thanh Xuân,84.0,3.98,
,Đông Nam,,2.0,,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,80.0,4.2,
,,,3.0,,Phố Ngụy Như Kon Tum,Phường Nhân Chính,Quận Thanh Xuân,89.0,6.3,
,,,2.0,6.0,Phố Vĩnh Phúc,Phường Vĩnh Phúc,Quận Ba Đình,50.0,0.85,
,,,1.0,5.0,Đường Hoàng Hoa Thám,Phường Ngọc Hà,Quận Ba Đình,35.0,0.7,
,,,3.0,,Đường Dương Khuê,Phường Mỹ Đình 2,Quận Nam Từ Liêm,153.0,6.5,
,,Giấy chứng nhận quyền sở hữu đất,2.0,16.0,Đường Tây Mỗ,Phường Tây Mỗ,Quận Nam Từ Liêm,55.0,2.9,
,,Giấy chứng nhận quyền sở hữu đất,2.0,20.0,Đường Tây Mỗ,Phường Tây Mỗ,Quận Nam Từ Liêm,71.0,4.2,
,,Giấy chứng nhận quyền sở hữu đất,3.0,18.0,Đường Tây Mỗ,Phường Tây Mỗ,Quận Nam Từ Liêm,82.0,4.2,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Huỳnh Thúc Kháng,Phường Láng Hạ,Quận Đống Đa,40.0,3.8,
,,,3.0,18.0,Đường Lạc Long Quân,Phường Xuân La,Quận Tây Hồ,88.0,4.7,
,,Giấy chứng nhận quyền sở hữu đất,2.0,2.0,Đường Hoàng Mai,Phường Hoàng Văn Thụ,Quận Hoàng Mai,65.0,3.7,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,,Phường Vĩnh Tuy,Quận Hai Bà Trưng,69.0,3.85,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Chùa Hà,Phường Mai Dịch,Quận Cầu Giấy,75.0,3.7,
,Đông Nam,,1.0,15.0,Đường Tây Mỗ,Phường Tây Mỗ,Quận Nam Từ Liêm,47.0,2.7,
,,,3.0,25.0,Đường Nguyễn Chánh,Phường Yên Hòa,Quận Cầu Giấy,102.0,6.5,
,,,2.0,5.0,Đường Giảng Võ,Phường Giảng Võ,Quận Ba Đình,70.0,3.8,
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phố Láng Hạ,Phường Thành Công,Quận Ba Đình,126.0,8.5,
,,,2.0,5.0,,Phường Dịch Vọng,Quận Cầu Giấy,88.0,5.55,
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,,Phường Dịch Vọng,Quận Cầu Giấy,90.0,5.3,
,Bắc,Giấy chứng nhận quyền sở hữu đất,2.0,6.0,Phố Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân,60.0,4.0,
,,,2.0,16.0,,Phường Nhân Chính,Quận Thanh Xuân,62.0,6.4,
,Đông Nam,,3.0,11.0,,Phường Thanh Xuân Trung,Quận Thanh Xuân,99.0,6.6,
,,Giấy tờ hợp lệ,3.0,1.0,Phố Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân,101.0,4.75,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Lò Đúc,Phường Phạm Đình Hổ,Quận Hai Bà Trưng,115.0,8.7,
,,Giấy chứng nhận quyền sở hữu đất,2.0,16.0,Phố Trần Quý Kiên,Phường Dịch Vọng,Quận Cầu Giấy,62.0,3.99,
,,Giấy chứng nhận quyền sở hữu đất,2.0,5.0,Đường Phạm Hùng,Phường Mễ Trì,Quận Nam Từ Liêm,90.0,4.0,
,,Giấy chứng nhận quyền sở hữu đất,3.0,11.0,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,125.0,6.9,
,,Giấy chứng nhận quyền sở hữu đất,3.0,17.0,Đường Mễ Trì,Phường Mễ Trì,Quận Nam Từ Liêm,130.0,6.5,
,,Giấy chứng nhận quyền sở hữu đất,2.0,16.0,Đường Trung Hòa,Phường Trung Hòa,Quận Cầu Giấy,100.0,5.0,
,,Giấy chứng nhận quyền sở hữu đất,4.0,6.0,Đường Phạm Hùng,Phường Mỹ Đình 1,Quận Nam Từ Liêm,142.0,6.5,
,,Giấy chứng nhận quyền sở hữu đất,4.0,11.0,Đường Nguyễn Chánh,Phường Trung Hòa,Quận Cầu Giấy,150.0,9.1,
,,Giấy chứng nhận quyền sở hữu đất,3.0,17.0,Phố Trung Kính,Phường Yên Hòa,Quận Cầu Giấy,136.0,10.0,
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phố Trung Kính,Phường Yên Hòa,Quận Cầu Giấy,100.0,5.0,
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Phố Trần Quý Kiên,Phường Dịch Vọng Hậu,Quận Cầu Giấy,59.0,2.9,
,,Giấy chứng nhận quyền sở hữu đất,2.0,10.0,Đường Nguyễn Chánh,Phường Yên Hòa,Quận Cầu Giấy,65.0,3.0,
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Phố Trung Kính,Phường Yên Hòa,Quận Cầu Giấy,100.0,5.7,
,,Giấy chứng nhận quyền sở hữu đất,3.0,20.0,Phố Trần Thái Tông,Phường Dịch Vọng,Quận Cầu Giấy,120.0,8.0,
,,Giấy chứng nhận quyền sở hữu đất,3.0,2.0,Đường Nguyễn Cơ Thạch,Phường Mỹ Đình 1,Quận Nam Từ Liêm,101.0,4.6,
,,Giấy chứng nhận quyền sở hữu đất,3.0,10.0,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,81.0,4.38,
,,Giấy chứng nhận quyền sở hữu đất,2.0,30.0,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,58.0,2.52,
,,,2.0,1.0,Đường Hoàng Quốc Việt,Phường Nghĩa Tân,Quận Cầu Giấy,100.0,5.0,
,,Giấy tờ hợp lệ,3.0,20.0,,Phường Mỹ Đình 1,Quận Nam Từ Liêm,106.0,7.4,
,,,3.0,10.0,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,108.0,7.0,
,,Giấy chứng nhận quyền sở hữu đất,2.0,16.0,Đường Trần Hữu Dực,Phường Cầu Diễn,Quận Nam Từ Liêm,62.0,4.25,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,20.0,Đường Hàm Nghi,Phường Mỹ Đình 2,Quận Nam Từ Liêm,67.0,4.7,
,,Giấy chứng nhận quyền sở hữu đất,2.0,18.0,Đường Xuân Phương,Phường Đại Mỗ,Quận Nam Từ Liêm,63.0,3.08,
,,,2.0,,,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,93.0,5.3,
,,,3.0,,Phố Trần Thái Tông,Phường Dịch Vọng Hậu,Quận Cầu Giấy,100.0,6.8,
,,,3.0,,Đường Phạm Văn Đồng,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,83.0,6.8,
,,,2.0,,,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,71.0,3.65,
,,,3.0,,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,93.0,5.18,
,,,3.0,,Đường Hoàng Quốc Việt,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,83.0,4.35,
,,,3.0,,Đường Hồ Tùng Mậu,Phường Phú Diễn,Quận Bắc Từ Liêm,94.0,6.45,
,,,3.0,,Đường Nguyễn Cơ Thạch,Phường Cầu Diễn,Quận Nam Từ Liêm,97.0,4.35,
,,,3.0,10.0,,Phường Trung Văn,Quận Nam Từ Liêm,105.0,6.3,
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,117.0,7.1,
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Đường Khương Trung,Phường Khương Trung,Quận Thanh Xuân,54.0,3.98,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Phố Trần Bình,Phường Mai Dịch,Quận Cầu Giấy,133.0,7.85,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Nguyễn Khánh Toàn,Phường Dịch Vọng Hậu,Quận Cầu Giấy,38.0,2.6,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Nghĩa Tân,Phường Nghĩa Tân,Quận Cầu Giấy,70.0,3.45,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Phương Mai,Phường Phương Mai,Quận Đống Đa,60.0,2.28,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Tôn Đức Thắng,Phường Hàng Bột,Quận Đống Đa,50.0,2.4,
,,Giấy chứng nhận quyền sở hữu đất,1.0,1.0,Phố Trần Tử Bình,Phường Dịch Vọng Hậu,Quận Cầu Giấy,60.0,3.4,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Trần Hữu Dực,Phường Mỹ Đình 2,Quận Nam Từ Liêm,105.0,6.3,
,,,2.0,20.0,Đường Lê Quang Đạo,Phường Mễ Trì,Quận Nam Từ Liêm,117.0,7.5,
,,Giấy tờ hợp lệ,2.0,1.0,Phố Tràng Tiền,Phường Tràng Tiền,Quận Hoàn Kiếm,52.0,3.05,
,,Giấy chứng nhận quyền sở hữu đất,3.0,3.0,Phố Hoàng Cầu,Phường Ô Chợ Dừa,Quận Đống Đa,70.0,4.75,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Phố Hoàng Văn Thái,Phường Khương Trung,Quận Thanh Xuân,80.0,4.65,
,,,2.0,1.0,Đường Vũ Trọng Phụng,Phường Thanh Xuân Trung,Quận Thanh Xuân,87.0,5.1,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Hoàng Minh Giám,Phường Nhân Chính,Quận Thanh Xuân,52.0,2.95,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Mỹ Đình,Phường Mỹ Đình 1,Quận Nam Từ Liêm,113.0,4.6,
,,Giấy chứng nhận quyền sở hữu đất,3.0,12.0,Đường Trương Định,Phường Thịnh Liệt,Quận Hoàng Mai,94.0,4.8,
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phố Nguyễn Quý Đức,Phường Thanh Xuân Bắc,Quận Thanh Xuân,75.0,2.65,
,Đông,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Đường Triều Khúc,Xã Tân Triều,Huyện Thanh Trì,76.0,2.65,
,Tây,Giấy chứng nhận quyền sở hữu đất,3.0,20.0,Đường Vũ Trọng Khánh,Phường Mộ Lao,Quận Hà Đông,105.0,5.25,
,,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Đường Yên Xá,Xã Tân Triều,Huyện Thanh Trì,89.0,3.75,
,,Giấy chứng nhận quyền sở hữu đất,3.0,20.0,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,131.0,5.35,
,,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,Đường Nguyễn Khuyến,Phường Văn Quán,Quận Hà Đông,77.0,3.35,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,15.0,Đường Lê Xuân Điệp,Phường Kiến Hưng,Quận Hà Đông,69.0,2.88,
,,Giấy chứng nhận quyền sở hữu đất,2.0,12.0,Phố Hoàng Công,Phường Kiến Hưng,Quận Hà Đông,60.0,2.45,
,,Giấy chứng nhận quyền sở hữu đất,3.0,2.0,Đường  Hồ Đền Lừ,Phường Hoàng Văn Thụ,Quận Hoàng Mai,90.0,3.1,
,,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,Phố Kim Ngưu,Phường Thanh Nhàn,Quận Hai Bà Trưng,70.0,3.7,
,,Giấy chứng nhận quyền sở hữu đất,2.0,9.0,Đường Thịnh Liệt,Phường Thịnh Liệt,Quận Hoàng Mai,54.0,3.1,
,,,2.0,4.0,Phố Trần Huy Liệu,Phường Ngọc Khánh,Quận Ba Đình,39.0,3.79,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phố Thái Thịnh,Phường Trung Liệt,Quận Đống Đa,115.0,6.9,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phố Nguyên Hồng,Phường Láng Hạ,Quận Đống Đa,60.0,3.68,
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Phố Thái Thịnh,Phường Trung Liệt,Quận Đống Đa,115.0,8.35,
,,,2.0,,Phố Núi Trúc,Phường Kim Mã,Quận Ba Đình,45.0,2.65,
,,Giấy chứng nhận quyền sở hữu đất,3.0,,Đường Long Biên,Phường Ngọc Lâm,Quận Long Biên,120.0,7.2,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Bát Khối,Phường Thạch Bàn,Quận Long Biên,75.0,2.8,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Đường Bát Khối,Phường Thạch Bàn,Quận Long Biên,70.0,2.65,
,,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,Đường Minh Khai,Phường Vĩnh Tuy,Quận Hai Bà Trưng,83.0,7.8,
,,Giấy chứng nhận quyền sở hữu đất,4.0,1.0,Đường Trần Hòa,Phường Đại Kim,Quận Hoàng Mai,123.0,5.5,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Đặng Xuân Bảng,Phường Đại Kim,Quận Hoàng Mai,83.0,3.9,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,90.0,3.6,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Ngọc Hồi,Phường Hoàng Liệt,Quận Hoàng Mai,105.0,4.5,
,Tây Nam,Giấy chứng nhận quyền sở hữu đất,2.0,3.0,,Phường Láng Thượng,Quận Đống Đa,60.0,2.95,
,Nam,Giấy chứng nhận quyền sở hữu đất,1.0,10.0,,Phường Minh Khai,Quận Hai Bà Trưng,53.0,4.75,
,Nam,Giấy chứng nhận quyền sở hữu đất,2.0,9.0,,Phường Giáp Bát,Quận Hoàng Mai,62.0,4.35,
,,,1.0,,Đường Lạc Long Quân,Phường Phú Thượng,Quận Tây Hồ,91.0,7.2,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phố Huỳnh Thúc Kháng,Phường Láng Thượng,Quận Đống Đa,75.0,3.6,
,,Giấy chứng nhận quyền sở hữu đất,2.0,,Phố Hồ Đắc Di,Phường Nam Đồng,Quận Đống Đa,86.0,3.28,
,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,2.0,1.0,,Phường Ngọc Lâm,Quận Long Biên,85.0,5.45,
,,Giấy chứng nhận quyền sở hữu đất,1.0,1.0,Phố Nguyễn Bỉnh Khiêm,Phường Lê Đại Hành,Quận Hai Bà Trưng,50.0,4.4,
,,,2.0,3.0,Phố Trần Quốc Hoàn,Phường Dịch Vọng,Quận Cầu Giấy,56.0,3.6,
,,,2.0,1.0,Đường Nguyễn Chí Thanh,,Quận Đống Đa,50.0,4.15,
,,,1.0,,Đường Võ Chí Công,Phường Xuân La,Quận Tây Hồ,34.0,2.75,
,,,1.0,,Đường Lạc Long Quân,Phường Phú Thượng,Quận Tây Hồ,76.0,6.2,
,,,2.0,,Đường Lạc Long Quân,Phường Phú Thượng,Quận Tây Hồ,70.0,6.2,
,,,1.0,,Đường Lạc Long Quân,Phường Phú Thượng,Quận Tây Hồ,76.0,6.8,
,,,2.0,,Đường Lạc Long Quân,Phường Phú Thượng,Quận Tây Hồ,70.0,6.15,
,,Giấy chứng nhận quyền sở hữu đất,1.0,2.0,Phố Hào Nam,Phường Ô Chợ Dừa,Quận Đống Đa,62.0,2.6,
,,Giấy chứng nhận quyền sở hữu đất,3.0,1.0,Đường Mễ Trì,Phường Mỹ Đình 1,Quận Nam Từ Liêm,111.0,4.75,
,,Giấy chứng nhận quyền sở hữu đất,2.0,8.0,,Phường Đức Giang,Quận Long Biên,72.0,2.75,
,,,2.0,19.0,Phố Hoàng Công,Phường Kiến Hưng,Quận Hà Đông,70.0,3.35,
