duAn,huong,phapLy,noBed,soLau,Street,Precinct,District,City,acreage_value,acreage_unit,price_value,price_unit,noBathroom
,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,3,27,,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,113.0,m2,10.0,tỷ,
,Tây Nam,Giấy chứng nhận quyền sở hữu đất,3,11,,Phường Trung Hòa,Quận Cầu Giấy,Hà Nội,153.0,m2,9.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,11,,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,Hà Nội,102.0,m2,7.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,4,11,,Phường Trung Văn,Quận Nam Từ Liêm,Hà Nội,200.0,m2,10.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,11,,Phường Yên Hòa,Quận Cầu Giấy,Hà Nội,135.0,m2,10.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,20,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,100.0,m2,7.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,20,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,176.0,m2,10.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,20,,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,117.0,m2,7.6,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,4,4,,Phường Phú Diễn,Quận Bắc Từ Liêm,Hà Nội,162.0,m2,8.7,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,21,,Phường Trung Văn,Quận Nam Từ Liêm,Hà Nội,130.0,m2,8.8,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,4,37,Đường Nguyễn Hoàng Tôn,Phường Đông Ngạc,Quận Bắc Từ Liêm,Hà Nội,182.0,m2,18.0,tỷ,
,Tây Nam,Giấy chứng nhận quyền sở hữu đất,3,20,,Phường Trung Hòa,Quận Cầu Giấy,Hà Nội,130.0,m2,7.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,2,Phố Kim Ngưu,Phường Quỳnh Mai,Quận Hai Bà Trưng,Hà Nội,80.0,m2,3.75,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,2,Phố Hồng Mai,Phường Quỳnh Lôi,Quận Hai Bà Trưng,Hà Nội,50.0,m2,2.35,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,89.0,m2,5.3,tỷ,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2,1,Phố Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,70.0,m2,3.9,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,1,Phố Tây Sơn,Phường Quang Trung,Quận Đống Đa,Hà Nội,90.0,m2,4.35,tỷ,
,Bắc,Giấy chứng nhận quyền sở hữu đất,3,,Đường Trịnh Đình Cửu,Phường Định Công,Quận Hoàng Mai,Hà Nội,80.0,m2,3.75,tỷ,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2,1,Phố Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,70.0,m2,4.1,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,,Đường Nguyễn Đức Cảnh,Phường Hoàng Văn Thụ,Quận Hoàng Mai,Hà Nội,70.0,m2,4.95,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,23,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,91.0,m2,5.35,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,8,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,Hà Nội,133.0,m2,6.6,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,15,Đường Nguyễn Trãi,Phường Thượng Đình,Quận Thanh Xuân,Hà Nội,130.0,m2,11.2,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,15,Đường Lê Đức Thọ,Phường Mai Dịch,Quận Cầu Giấy,Hà Nội,100.0,m2,5.8,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,16,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,120.0,m2,5.9,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,10,Phố Hạ Đình,Phường Hạ Đình,Quận Thanh Xuân,Hà Nội,110.0,m2,5.15,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,20,Đường Nguyễn Trãi,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,107.0,m2,7.8,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,5,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,55.0,m2,3.45,tỷ,
,,,2,,Phố Đội cấn,Phường Đội Cấn,Quận Ba Đình,Hà Nội,50.0,m2,1.6,tỷ,
,,,3,,Đường Nguyễn Duy Trinh,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,76.0,m2,3.89,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,1,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,Hà Nội,109.0,m2,5.95,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,1,Đường Quỳnh Mai,Phường Quỳnh Mai,Quận Hai Bà Trưng,Hà Nội,40.0,m2,1.8,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,8,5,Đường Giáp Bát,Phường Giáp Bát,Quận Hoàng Mai,Hà Nội,50.0,m2,10.0,tỷ,
,,,2,5,Đường Ngọc Lâm,Phường Ngọc Lâm,Quận Long Biên,Hà Nội,78.0,m2,2.3,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,6,Đường An Dương Vương,Phường Phú Thượng,Quận Tây Hồ,Hà Nội,89.0,m2,6.2,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,6,Đường Hoàng Minh Thảo,Phường Xuân Tảo,Quận Bắc Từ Liêm,Hà Nội,132.0,m2,8.5,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,,6,Đường Võ Chí Công,Phường Phú Thượng,Quận Tây Hồ,Hà Nội,148.0,m2,10.8,tỷ,
,,,40,8,Đường Tô Ngọc Vân,Phường Quảng An,Quận Tây Hồ,Hà Nội,265.0,m2,90.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,1,Đường Ngọc Hồi,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,76.0,m2,4.7,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,1,,Phường Điện Biên,Quận Ba Đình,Hà Nội,83.0,m2,11.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,6,Phố Trần Huy Liệu,Phường Giảng Võ,Quận Ba Đình,Hà Nội,68.0,m2,3.8,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,2,Phố Nguyễn Siêu,Phường Hàng Buồm,Quận Hoàn Kiếm,Hà Nội,36.0,m2,3.5,tỷ,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2,25,Đường Tố Hữu,Phường Dương Nội,Quận Hà Đông,Hà Nội,81.0,m2,3.9,tỷ,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,3,25,Đường Tố Hữu,Phường La Khê,Quận Hà Đông,Hà Nội,114.0,m2,4.25,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,1,Đường Vũ Phạm Hàm,Phường Yên Hòa,Quận Cầu Giấy,Hà Nội,200.0,m2,13.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,1,Đường Hoàng Đạo Thúy,Phường Trung Hòa,Quận Cầu Giấy,Hà Nội,200.0,m2,12.9,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,1,Đường Hoàng Đạo Thúy,Phường Trung Hòa,Quận Cầu Giấy,Hà Nội,200.0,m2,13.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,2,Đường Hồ Văn Chương,Phường Văn Chương,Quận Đống Đa,Hà Nội,65.0,m2,2.2,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,3,Đường Hồ Văn Chương,Phường Văn Chương,Quận Đống Đa,Hà Nội,98.0,m2,2.5,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,3,Đường Nguyễn Chí Thanh,Phường Láng Thượng,Quận Đống Đa,Hà Nội,70.0,m2,2.7,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,,Phố Huỳnh Thúc Kháng,Phường Láng Hạ,Quận Đống Đa,Hà Nội,40.0,m2,2.55,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,1,Đường Trần Phú,Phường Mộ Lao,Quận Hà Đông,Hà Nội,110.0,m2,3.9,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,1,Phố Nguyễn Quý Đức,Phường Thanh Xuân Bắc,Quận Thanh Xuân,Hà Nội,92.0,m2,2.95,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,18,Đường Quang Trung,Phường Yết Kiêu,Quận Hà Đông,Hà Nội,72.0,m2,3.65,tỷ,
,Đông,Giấy chứng nhận quyền sở hữu đất,3,15,Đường Trần Phú,Phường Mộ Lao,Quận Hà Đông,Hà Nội,119.0,m2,3.99,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,15,Đường Phùng Hưng,Phường Phúc La,Quận Hà Đông,Hà Nội,81.0,m2,3.28,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,5,Phố Hồ Đắc Di,Phường Nam Đồng,Quận Đống Đa,Hà Nội,65.0,m2,3.15,tỷ,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2,51,Đường Vạn Phúc,Phường Vạn Phúc,Quận Hà Đông,Hà Nội,78.0,m2,3.58,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,15,Đường Văn Khê,Phường La Khê,Quận Hà Đông,Hà Nội,107.0,m2,4.55,tỷ,
,Tây Nam,Giấy chứng nhận quyền sở hữu đất,2,10,Đường Trần Phú,Phường Mộ Lao,Quận Hà Đông,Hà Nội,85.0,m2,3.35,tỷ,
,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,2,38,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,95.0,m2,8.2,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,34,Đường Mễ Trì,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,105.0,m2,6.85,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,21,Đường Nguyễn Chánh,Phường Yên Hòa,Quận Cầu Giấy,Hà Nội,66.0,m2,4.3,tỷ,
,,,2,21,Phố Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,60.0,m2,4.3,tỷ,
,,,2,12,Đường Lê Văn Lương,Phường Trung Hòa,Quận Cầu Giấy,Hà Nội,62.0,m2,3.5,tỷ,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2,32,Đường Vũ Trọng Phụng,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,86.0,m2,5.4,tỷ,
,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,2,34,Phố Ngụy Như Kon Tum,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,57.0,m2,4.15,tỷ,
,,,3,35,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,Hà Nội,130.0,m2,8.9,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,35,Phố Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,101.0,m2,4.75,tỷ,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,3,32,Đường Tố Hữu,Phường Trung Văn,Quận Nam Từ Liêm,Hà Nội,103.0,m2,6.5,tỷ,
,,,3,34,Đường Lê Văn Thiêm,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,96.0,m2,6.6,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,21,Đường Lê Đức Thọ,Phường Mai Dịch,Quận Cầu Giấy,Hà Nội,73.0,m2,4.65,tỷ,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,3,25,Đường Nguyễn Tuân,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,78.0,m2,6.65,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,34,Đường Xuân Tảo,Phường Xuân Tảo,Quận Bắc Từ Liêm,Hà Nội,123.0,m2,11.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,4,35,Phố Vũ Phạm Hàm,Phường Yên Hòa,Quận Cầu Giấy,Hà Nội,229.0,m2,26.2,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,21,Đường Lạc Long Quân,Phường Bưởi,Quận Tây Hồ,Hà Nội,78.0,m2,5.78,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,1,32,Đường Trần Kim Xuyến,Phường Yên Hòa,Quận Cầu Giấy,Hà Nội,59.0,m2,4.75,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,11,Đường Phạm Hùng,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,122.0,m2,5.85,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,15,Phố Trần Thái Tông,Phường Dịch Vọng,Quận Cầu Giấy,Hà Nội,100.0,m2,6.75,tỷ,
,,,3,40,Đường Lê Văn Lương,Phường Nhân Chính,Quận Thanh Xuân,Hà Nội,138.0,m2,8.6,tỷ,
,Đông Bắc,Giấy chứng nhận quyền sở hữu đất,4,30,Đường Đình Thôn,Phường Mỹ Đình 1,Quận Nam Từ Liêm,Hà Nội,142.0,m2,10.5,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,34,Đường Cầu Giấy,Phường Dịch Vọng,Quận Cầu Giấy,Hà Nội,96.0,m2,7.85,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,21,Phố Trần Quý Kiên,Phường Dịch Vọng,Quận Cầu Giấy,Hà Nội,63.0,m2,4.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,35,Đường Nguyễn Hoàng,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,133.0,m2,7.45,tỷ,
,,,2,19,Phố Láng Hạ,Phường Thành Công,Quận Ba Đình,Hà Nội,82.0,m2,10.5,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,34,Đường Lê Quang Đạo,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,88.0,m2,9.0,tỷ,
,Tây,Giấy chứng nhận quyền sở hữu đất,3,21,Đường Thành Thái,Phường Dịch Vọng,Quận Cầu Giấy,Hà Nội,108.0,m2,7.5,tỷ,
,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,3,25,Đường Nguyễn Chánh,Phường Trung Hòa,Quận Cầu Giấy,Hà Nội,144.0,m2,8.75,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,,Phố Bùi Quốc Khái,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,68.0,m2,4.0,tỷ,
,,Giấy tờ hợp lệ,3,,Đường Linh Đường,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,76.0,m2,3.32,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,,Đường Ngọc Hồi,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,83.0,m2,3.65,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,,Đường Bằng Liệt,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,72.0,m2,3.92,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,,Phố Bùi Quốc Khái,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,65.0,m2,3.95,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,,Đường  Hồ Đền Lừ,Phường Hoàng Văn Thụ,Quận Hoàng Mai,Hà Nội,72.0,m2,3.65,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,,Phố Đại Từ,Phường Đại Kim,Quận Hoàng Mai,Hà Nội,101.0,m2,5.5,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,,Đường Nguyễn Cảnh Dị,Phường Đại Kim,Quận Hoàng Mai,Hà Nội,84.0,m2,4.15,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,1,Đường Quang Trung,Phường La Khê,Quận Hà Đông,Hà Nội,92.0,m2,4.05,tỷ,
,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,2,28,Đường Thành Thái,Phường Dịch Vọng,Quận Cầu Giấy,Hà Nội,92.0,m2,4.45,tỷ,
,,,2,24,Đường Vũ Trọng Phụng,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,96.0,m2,7.6,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,31,,Phường La Khê,Quận Hà Đông,Hà Nội,79.0,m2,3.97,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,6,Đường Quang Trung,Phường La Khê,Quận Hà Đông,Hà Nội,108.0,m2,4.7,tỷ,
,Tây Bắc,Giấy chứng nhận quyền sở hữu đất,2,10,Phố Trần Quý Kiên,Phường Dịch Vọng,Quận Cầu Giấy,Hà Nội,62.0,m2,3.9,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,7,Phố Hoa Lư,Phường Lê Đại Hành,Quận Hai Bà Trưng,Hà Nội,96.0,m2,8.6,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,17,Phố Nguyễn Huy Tưởng,Phường Thanh Xuân Trung,Quận Thanh Xuân,Hà Nội,98.0,m2,7.29,tỷ,
,,,3,11,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,115.0,m2,5.75,tỷ,
,,,3,,Đường Dương Khuê,Phường Mỹ Đình 1,Quận Nam Từ Liêm,Hà Nội,125.0,m2,6.8,tỷ,
,,,2,10,Đường Vành Đai 3.5,Xã Vân Canh,Huyện Hoài Đức,Hà Nội,72.0,m2,2.85,tỷ,
,,,3,,Đường Phạm Văn Đồng,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,Hà Nội,113.0,m2,7.9,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,1,Đường Trần Bình,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,133.0,m2,7.6,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,1,Phố Tân Mai,Phường Tân Mai,Quận Hoàng Mai,Hà Nội,86.0,m2,4.6,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,9,Đường Nguyễn Xiển,Phường Hạ Đình,Quận Thanh Xuân,Hà Nội,66.0,m2,3.68,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,11,Đường Thịnh Liệt,Phường Thịnh Liệt,Quận Hoàng Mai,Hà Nội,72.0,m2,3.35,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,1,2,Đường Kim Liên,Phường Kim Liên,Quận Đống Đa,Hà Nội,21.0,m2,2.2,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,6,Phố Phương Mai,Phường Phương Mai,Quận Đống Đa,Hà Nội,44.0,m2,3.47,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,3,Phố Chùa Bộc,Phường Khương Thượng,Quận Đống Đa,Hà Nội,58.0,m2,3.6,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,5,Phố Phạm Ngọc Thạch,Phường Phương Mai,Quận Đống Đa,Hà Nội,150.0,m2,3.75,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,22,7,Đường Phùng Khoang,Phường Trung Văn,Quận Nam Từ Liêm,Hà Nội,93.0,m2,21.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,1,Đường Vành Đai 3,Phường Yên Sở,Quận Hoàng Mai,Hà Nội,100.0,m2,3.9,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,8,Đường Minh Khai,Phường Minh Khai,Quận Hai Bà Trưng,Hà Nội,105.0,m2,5.5,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,3,Đường  Hồ Đền Lừ,Phường Hoàng Văn Thụ,Quận Hoàng Mai,Hà Nội,200.0,m2,4.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,1,Phố Đại Từ,Phường Đại Kim,Quận Hoàng Mai,Hà Nội,74.0,m2,4.55,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,10,Đường Nguyễn Văn Huyên,Phường Xuân La,Quận Tây Hồ,Hà Nội,60.0,m2,5.2,tỷ,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,3,17,Đường Đình Thôn,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,108.0,m2,4.68,tỷ,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2,45,Đường Nguyễn Trãi,Phường Văn Quán,Quận Hà Đông,Hà Nội,85.0,m2,3.2,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,4,2,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,185.0,m2,19.5,tỷ,
,Đông Nam,Giấy chứng nhận quyền sở hữu đất,2,45,Đường Trần Phú,Phường Văn Quán,Quận Hà Đông,Hà Nội,76.0,m2,36.0,triệu,
,,Giấy chứng nhận quyền sở hữu đất,2,27,,Phường Cầu Diễn,Quận Nam Từ Liêm,Hà Nội,65.0,m2,2.62,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,42,Đường Lê Đức Thọ,Phường Mỹ Đình 2,Quận Nam Từ Liêm,Hà Nội,94.0,m2,7.5,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,1,36,Đường Tây Mỗ,Phường Tây Mỗ,Quận Nam Từ Liêm,Hà Nội,60.0,m2,4.75,tỷ,
,,,3,,Đường Trần Thủ Độ,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,75.0,m2,3.45,tỷ,
,,,3,,Đường Ngọc Hồi,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,90.0,m2,4.45,tỷ,
,,,19,8,Đường Tân Triều,Xã Tân Triều,Huyện Thanh Trì,Hà Nội,70.0,m2,17.0,tỷ,
,,,2,,Đường Tứ Hiệp,Xã Tứ Hiệp,Huyện Thanh Trì,Hà Nội,70.0,m2,2.95,tỷ,
,,,2,,Đường Giải Phóng,Phường Giáp Bát,Quận Hoàng Mai,Hà Nội,62.0,m2,4.2,tỷ,
,,,4,2,Đường Đào Tấn,Phường Kim Mã,Quận Ba Đình,Hà Nội,45.0,m2,5.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,,Đường Nguyễn Khuyến,Phường Văn Quán,Quận Hà Đông,Hà Nội,80.0,m2,4.35,tỷ,
,,,6,4,Đường Cầu Noi,Phường Cổ Nhuế 2,Quận Bắc Từ Liêm,Hà Nội,41.0,m2,5.15,tỷ,
,,,2,14,Đường Phạm Văn Đồng,Phường Cổ Nhuế 1,Quận Bắc Từ Liêm,Hà Nội,76.0,m2,3.8,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,,Đường Tân Xuân,Phường Đông Ngạc,Quận Bắc Từ Liêm,Hà Nội,64.0,m2,3.18,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,12,Đường Trần Phú,Phường Mộ Lao,Quận Hà Đông,Hà Nội,124.0,m2,5.2,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,5,3,Đường Nguyễn Văn Lộc,Phường Mộ Lao,Quận Hà Đông,Hà Nội,835.0,m2,18.3,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,16,Đường Xuân Tảo,Phường Xuân Đỉnh,Quận Bắc Từ Liêm,Hà Nội,134.0,m2,60.0,triệu,
,,Giấy chứng nhận quyền sở hữu đất,3,20,Đường Hoàng Minh Thảo,Phường Xuân Tảo,Quận Bắc Từ Liêm,Hà Nội,107.0,m2,9.95,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,20,Đường Nguyễn Văn Huyên,Phường Xuân La,Quận Tây Hồ,Hà Nội,83.0,m2,6.4,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,20,Đường Xuân Tảo,Phường Xuân Tảo,Quận Bắc Từ Liêm,Hà Nội,133.0,m2,62.0,triệu,
,,Giấy chứng nhận quyền sở hữu đất,2,20,Đường Xuân La,Phường Xuân Tảo,Quận Bắc Từ Liêm,Hà Nội,80.0,m2,5.4,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,5,Đường Nghĩa Tân,Phường Nghĩa Tân,Quận Cầu Giấy,Hà Nội,70.0,m2,3.35,tỷ,
,,,3,1,Phố Tân Mai,Phường Tân Mai,Quận Hoàng Mai,Hà Nội,114.0,m2,6.5,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,1,Đường Trần Duy Hưng,Phường Trung Hòa,Quận Cầu Giấy,Hà Nội,200.0,m2,12.7,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,1,Đường Lê Quang Đạo,Phường Mễ Trì,Quận Nam Từ Liêm,Hà Nội,115.0,m2,10.8,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,18,8,Đường Cầu Diễn,Phường Minh Khai,Quận Bắc Từ Liêm,Hà Nội,100.0,m2,20.0,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,10,Đường Mai Chí Thọ,Phường Giang Biên,Quận Long Biên,Hà Nội,64.0,m2,2.15,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,4,Đường Đình Thôn,Phường Mỹ Đình 1,Quận Nam Từ Liêm,Hà Nội,50.0,m2,1.75,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,21,Đường Phùng Hưng,Phường Phúc La,Quận Hà Đông,Hà Nội,80.0,m2,3.85,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,12,Đường Triều Khúc,Phường Thanh Xuân Nam,Quận Thanh Xuân,Hà Nội,82.0,m2,5.65,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,10,Đường Linh Đàm,Phường Hoàng Liệt,Quận Hoàng Mai,Hà Nội,70.0,m2,3.65,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,5,Đường Nguyễn Trãi,Phường Văn Quán,Quận Hà Đông,Hà Nội,109.0,m2,5.9,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,18,Phố Xa La,Phường Phúc La,Quận Hà Đông,Hà Nội,89.0,m2,3.95,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,11,Đường Dương Lâm,Phường Văn Quán,Quận Hà Đông,Hà Nội,80.0,m2,4.2,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,6,Đường Phúc La - Văn Phú,Phường Phúc La,Quận Hà Đông,Hà Nội,63.0,m2,2.55,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,30,Đường Chu Văn An,Phường Yết Kiêu,Quận Hà Đông,Hà Nội,86.0,m2,4.68,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,3,12,Đường Quang Trung,Phường Quang Trung,Quận Hà Đông,Hà Nội,92.0,m2,3.75,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,16,Đường Quang Trung,Phường Yết Kiêu,Quận Hà Đông,Hà Nội,65.0,m2,3.85,tỷ,
,,Giấy chứng nhận quyền sở hữu đất,2,20,Đường Thanh Bình,Phường Mộ Lao,Quận Hà Đông,Hà Nội,77.0,m2,4.55,tỷ,
